,team,opponent,wins,losses,avg_rushing_yards,avg_passing_yards,avg_rush_def_yards,avg_pass_def_yards,opponent_avg_rushing_yards,opponent_avg_passing_yards,opponent_avg_rush_def_yards,opponent_avg_pass_def_yards
0,overall,Cowboys,129,108,,,,,7.215,16.457,6.78,16.594
1,overall,Panthers,84,139,,,,,6.598,16.896,6.829,15.842
2,overall,Bills,151,90,,,,,6.526,16.119,6.915,16.03
3,overall,Dolphins,116,120,,,,,6.552,15.948,6.767,17.25
4,overall,Ravens,153,78,,,,,6.848,15.508,6.167,16.426
5,overall,Patriots,127,101,,,,,6.521,16.921,6.584,16.406
6,overall,Bears,101,124,,,,,6.456,15.743,6.689,16.482
7,overall,Browns,107,124,,,,,7.219,16.854,6.797,16.493
8,overall,Packers,139,105,,,,,6.951,17.113,6.836,17.409
9,overall,Giants,78,143,,,,,6.452,15.906,6.589,16.765
10,overall,Bengals,98,129,,,,,6.31,16.733,6.914,16.419
11,overall,Chiefs,180,69,,,,,6.684,17.701,6.98,16.736
12,overall,Jets,84,140,,,,,6.497,16.567,6.126,16.663
13,overall,Rams,132,104,,,,,6.571,17.061,6.548,16.586
14,overall,Cardinals,78,131,,,,,6.219,16.207,6.722,16.618
15,overall,Colts,109,113,,,,,6.516,16.371,6.454,16.614
16,overall,Chargers,98,114,,,,,6.277,17.108,7.115,16.667
17,overall,Eagles,128,103,,,,,6.725,16.717,6.608,16.666
18,overall,Jaguars,89,140,,,,,6.486,16.136,6.545,16.65
19,overall,Seahawks,127,102,,,,,6.986,17.195,6.272,16.078
20,overall,Titans,121,110,,,,,7.133,16.717,6.318,16.482
21,overall,Lions,91,125,,,,,6.339,16.998,6.771,16.879
22,overall,Commanders,82,132,,,,,6.593,16.551,6.74,16.872
23,overall,Texans,102,125,,,,,6.192,16.017,6.933,16.979
24,overall,Raiders,104,125,,,,,6.837,16.443,6.597,17.181
25,overall,49ers,132,105,,,,,6.718,18.058,6.253,16.078
26,overall,Steelers,140,86,,,,,6.415,16.214,6.535,16.52
27,overall,Falcons,85,135,,,,,6.511,16.275,6.806,16.462
28,overall,Buccaneers,118,111,,,,,6.327,16.488,6.39,15.924
